���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575140583-2311,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,CIRCLE PRINT SHIRT,https://www.zara.com/us/en/circle-print-shirt-p05478302.html,CIRCLE PRINT SHIRT Details,49.90 USD,White
1575140932-2471,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,FLEECE PLAID OVERSHIRT,https://www.zara.com/us/en/fleece-plaid-overshirt-p01821370.html,FLEECE PLAID OVERSHIRT Details,69.90 USD,Ocher
1575140296-2183,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,TIGER PRINT SHIRT,https://www.zara.com/us/en/tiger-print-shirt-p03057316.html,TIGER PRINT SHIRT Details,39.90 USD,Sky Blue
1575140281-2176,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,PLAID PRINT SHIRT,https://www.zara.com/us/en/plaid-print-shirt-p06264306.html,PLAID PRINT SHIRT Details,null,Sky Blue
1575140420-2238,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,DOUBLE COLLAR FLORAL PRINT SHIRT,https://www.zara.com/us/en/double-collar-floral-print-shirt-p05445312.html,DOUBLE COLLAR FLORAL PRINT SHIRT Details,49.90 USD,White / Red
1575140857-2441,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,STRUCTURED STRIPED SHIRT,https://www.zara.com/us/en/structured-striped-shirt-p05588303.html,STRUCTURED STRIPED SHIRT Details,49.90 USD,Blue
1575140524-2284,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,STRIPED SHIRT,https://www.zara.com/us/en/striped-shirt-p04479238.html,STRIPED SHIRT Details,39.90 USD,Beige
1575140828-2427,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,SUPERSLIM FRENCH CUFF SHIRT,https://www.zara.com/us/en/superslim-french-cuff-shirt-p04002441.html,SUPERSLIM FRENCH CUFF SHIRT Details,49.90 USD,Black
1575140338-2199,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,RUSTIC SHIRT WITH MANDARIN COLLAR,https://www.zara.com/us/en/rustic-shirt-with-mandarin-collar-p07545305.html,RUSTIC SHIRT WITH MANDARIN COLLAR Details,39.90 USD,Natural
1575140404-2230,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,VINTAGE WASH PLAID SHIRT,https://www.zara.com/us/en/vintage-wash-plaid-shirt-p01821300.html,VINTAGE WASH PLAID SHIRT Details,49.90 USD,Blue Green
1575140283-2177,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,MIXED STRIPED PRINT SHIRT,https://www.zara.com/us/en/mixed-striped-print-shirt-p05766272.html,MIXED STRIPED PRINT SHIRT Details,39.90 USD,Blue
1575140408-2232,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,FLOWY SHIRT WITH POCKETS,https://www.zara.com/us/en/flowy-shirt-with-pockets-p00840313.html,FLOWY SHIRT WITH POCKETS Details,49.90 USD,Terracotta
1575140777-2403,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,TEXTURED SHIRT,https://www.zara.com/us/en/textured-shirt-p04201321.html,TEXTURED SHIRT Details,49.90 USD,White
1575140558-2299,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,CHAMBRAY DENIM SHIRT,https://www.zara.com/us/en/chambray-denim-shirt-p09522300.html,CHAMBRAY DENIM SHIRT Details,39.90 USD,Light Blue
1575140610-2324,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,MOSAIC PRINT SHIRT,https://www.zara.com/us/en/mosaic-print-shirt-p05832991.html,MOSAIC PRINT SHIRT Details,49.90 USD,Navy Blue
1575140577-2308,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,BIRD PRINT SATIN EFFECT SHIRT,https://www.zara.com/us/en/bird-print-satin-effect-shirt-p05667653.html,BIRD PRINT SATIN EFFECT SHIRT Details,35.90 USD,White
1575140203-2142,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,GEOMETRIC PRINT SHIRT,https://www.zara.com/us/en/geometric-print-shirt-p06103307.html,GEOMETRIC PRINT SHIRT Details,39.90 USD,Maroon
1575140333-2197,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,MANDARIN COLLAR OXFORD SHIRT,https://www.zara.com/us/en/mandarin-collar-oxford-shirt-p07545416.html,MANDARIN COLLAR OXFORD SHIRT Details,35.90 USD,Indigo
