���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575138486-1773,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,FAUX LEATHER BIKER JACKET,https://www.zara.com/us/en/faux-leather-biker-jacket-p08281355.html,FAUX LEATHER BIKER JACKET Details,119.00 USD,Black
1575138237-1656,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,COMBINED DENIM JACKET,https://www.zara.com/us/en/combined-denim-jacket-p01889405.html,COMBINED DENIM JACKET Details,89.90 USD,Light Blue
1575138452-1757,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,PLAID PRINT JACKET,https://www.zara.com/us/en/plaid-print-jacket-p04432302.html,PLAID PRINT JACKET Details,119.00 USD,Black
1575138212-1645,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,TEXTURED CAR COAT,https://www.zara.com/us/en/textured-car-coat-p00706355.html,TEXTURED CAR COAT Details,129.00 USD,Gray Marl
1575138139-1610,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,TEXTURED WEAVE OVERSHIRT,https://www.zara.com/us/en/textured-weave-overshirt-p07545347.html,TEXTURED WEAVE OVERSHIRT Details,49.90 USD,Brown
1575138548-1803,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,METALLIC THREAD JACKET,https://www.zara.com/us/en/metallic-thread-jacket-p06540122.html,METALLIC THREAD JACKET Details,129.00 USD,Black
1575138602-1829,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,LEATHER BIKER JACKET,https://www.zara.com/us/en/leather-biker-jacket-p00706366.html,LEATHER BIKER JACKET Details,299.00 USD,Black
1575138573-1815,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,HOODED PADDED VEST,https://www.zara.com/us/en/hooded-padded-vest-p01792312.html,HOODED PADDED VEST Details,69.90 USD,Black
1575138124-1603,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,RESIN PAPER TECHNICAL JACKET,https://www.zara.com/us/en/resin-paper-technical-jacket-p05320306.html,RESIN PAPER TECHNICAL JACKET Details,89.90 USD,White
1575138465-1763,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,CORDUROY JACKET WITH FLEECE,https://www.zara.com/us/en/corduroy-jacket-with-fleece-p05320311.html,CORDUROY JACKET WITH FLEECE Details,89.90 USD,Taupe Brown
1575138617-1836,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,HOODED PUFFER JACKET,https://www.zara.com/us/en/hooded-puffer-jacket-p06985304.html,HOODED PUFFER JACKET Details,119.00 USD,Black
1575138410-1737,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,FLEECE TRIM PARKA,https://www.zara.com/us/en/fleece-trim-parka-p06985307.html,FLEECE TRIM PARKA Details,119.00 USD,Sand
1575138122-1602,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,RECCO� TECHNICAL JACKET,https://www.zara.com/us/en/recco%C2%AE-technical-jacket-p01105302.html,RECCO� TECHNICAL JACKET Details,119.00 USD,Black
1575138295-1683,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,PTCH/C-JKT 03,https://www.zara.com/us/en/ptch-c-jkt-03-p03445301.html,PTCH/C-JKT 03 Details,149.00 USD,Navy Blue
1575138264-1668,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,BOMBER JACKET,https://www.zara.com/us/en/bomber-jacket-p03918309.html,BOMBER JACKET Details,69.90 USD,Light Gray
1575138343-1706,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,HOODED PUFFER JACKET,https://www.zara.com/us/en/hooded-puffer-jacket-p08574450.html,HOODED PUFFER JACKET Details,89.90 USD,Black
1575138501-1780,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,CORDUROY OVERSHIRT,https://www.zara.com/us/en/corduroy-overshirt-p00387301.html,CORDUROY OVERSHIRT Details,49.90 USD,Gray
1575138538-1798,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,FLEECE TRIM PARKA,https://www.zara.com/us/en/fleece-trim-parka-p00706348.html,FLEECE TRIM PARKA Details,149.00 USD,Black
1575138314-1692,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,WATER REPELLENT PUFFER JACKET,https://www.zara.com/us/en/water-repellent-puffer-jacket-p06719315.html,WATER REPELLENT PUFFER JACKET Details,119.00 USD,Gray
