���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575157260-5964,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,PRINT DRESS WITH SEQUINS,https://www.zara.com/us/en/print-dress-with-sequins-p04193102.html,PRINT DRESS WITH SEQUINS Details,89.90 USD,Gray green
1575157650-6152,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,OVERSIZED PURL KNIT SWEATER,https://www.zara.com/us/en/oversized-purl-knit-sweater-p05755124.html,OVERSIZED PURL KNIT SWEATER Details,69.90 USD,Ecru
1575157946-6295,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,RIBBED SWEATER WITH BUTTONS,https://www.zara.com/us/en/ribbed-sweater-with-buttons-p03519115.html,RIBBED SWEATER WITH BUTTONS Details,35.90 USD,Camel
1575157535-6096,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,KNIT JOGGING PANTS,https://www.zara.com/us/en/knit-jogging-pants-p05536123.html,KNIT JOGGING PANTS Details,39.90 USD,Ecru
1575157694-6173,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,CONTRASTING ORGANZA SWEATER,https://www.zara.com/us/en/contrasting-organza-sweater-p02488143.html,CONTRASTING ORGANZA SWEATER Details,39.90 USD,Burgundy
1575157822-6235,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,BALLOON SLEEVE STRIPED SWEATER,https://www.zara.com/us/en/balloon-sleeve-striped-sweater-p04978104.html,BALLOON SLEEVE STRIPED SWEATER Details,35.90 USD,striped
1575157582-6119,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,THE MINIMAL EDIT,https://www.zara.com/us/en/the-minimal-edit-pT5755108800.html,THE MINIMAL EDIT,89.90 USD,null
1575157412-6037,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,KNIT POMPOM SWEATER,https://www.zara.com/us/en/knit-pompom-sweater-p00021101.html,KNIT POMPOM SWEATER Details,49.90 USD,Blue
1575157868-6257,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,ALPACA AND WOOL BLEND SWEATER,https://www.zara.com/us/en/alpaca-and-wool-blend-sweater-p00837104.html,ALPACA AND WOOL BLEND SWEATER Details,69.90 USD,Pink
1575158159-6398,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,RUFFLED OVERSIZED SWEATER,https://www.zara.com/us/en/ruffled-oversized-sweater-p05507107.html,RUFFLED OVERSIZED SWEATER Details,69.90 USD,Ecru
1575157752-6201,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,WOOL BLEND WIDE LEG PANTS,https://www.zara.com/us/en/wool-blend-wide-leg-pants-p06771139.html,WOOL BLEND WIDE LEG PANTS Details,89.90 USD,Sand / Marl
1575158108-6373,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,OVERSIZED SWEATER,https://www.zara.com/us/en/oversized-sweater-p06771101.html,OVERSIZED SWEATER Details,49.90 USD,Green / Blue
1575157243-5956,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,RUFFLED GLITTER SWEATER,https://www.zara.com/us/en/ruffled-glitter-sweater-p09598194.html,RUFFLED GLITTER SWEATER Details,49.90 USD,Pink
1575157824-6236,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,BASIC RIBBED SWEATER,https://www.zara.com/us/en/basic-ribbed-sweater-p02298100.html,BASIC RIBBED SWEATER Details,25.90 USD,Black
1575157435-6048,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,OPENWORK KNIT SKIRT,https://www.zara.com/us/en/openwork-knit-skirt-p03500007.html,OPENWORK KNIT SKIRT Details,39.90 USD,Mustard
1575157679-6166,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,DRESS WITH SIDE CUT OUTS,https://www.zara.com/us/en/dress-with-side-cut-outs-p01215100.html,DRESS WITH SIDE CUT OUTS Details,49.90 USD,Ecru
1575158006-6324,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,PLAID KNIT SWEATER,https://www.zara.com/us/en/plaid-knit-sweater-p05755136.html,PLAID KNIT SWEATER Details,49.90 USD,Mustard
1575157477-6068,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,METALLIC THREAD RUFFLED TOP,https://www.zara.com/us/en/metallic-thread-ruffled-top-p02488104.html,METALLIC THREAD RUFFLED TOP Details,35.90 USD,only one
1575157772-6211,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,OVERSIZED CASHMERE SWEATER,https://www.zara.com/us/en/oversized-cashmere-sweater-p00166100.html,OVERSIZED CASHMERE SWEATER Details,169.00 USD,Black
1575157791-6220,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,KNIT SWEATER WITH BEADING,https://www.zara.com/us/en/knit-sweater-with-beading-p05507102.html,KNIT SWEATER WITH BEADING Details,49.90 USD,Sand
1575157493-6076,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,MOHAIR AND WOOL BLEND JACKET,https://www.zara.com/us/en/mohair-and-wool-blend-jacket-p05755116.html,MOHAIR AND WOOL BLEND JACKET Details,69.90 USD,Blue
1575158013-6327,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,SPECIAL EDITION KNIT SWEATER,https://www.zara.com/us/en/special-edition-knit-sweater-p05755111.html,SPECIAL EDITION KNIT SWEATER Details,69.90 USD,Sand
1575157586-6121,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,MERINO WOOL SWEATER,https://www.zara.com/us/en/merino-wool-sweater-p05755101.html,MERINO WOOL SWEATER Details,69.90 USD,Brown / Taupe
1575158105-6372,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,WOOL BLEND OVERSIZED SWEATER,https://www.zara.com/us/en/wool-blend-oversized-sweater-p06771145.html,WOOL BLEND OVERSIZED SWEATER Details,49.90 USD,Green
1575157998-6320,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,DRESS WITH CUT OUTS,https://www.zara.com/us/en/dress-with-cut-outs-p06873110.html,DRESS WITH CUT OUTS Details,69.90 USD,Black
1575157967-6305,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,LONG KNIT COAT,https://www.zara.com/us/en/long-knit-coat-p09598175.html,LONG KNIT COAT Details,69.90 USD,Chalk pink
1575158033-6337,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,SEQUIN SWEATER,https://www.zara.com/us/en/sequin-sweater-p00431104.html,SEQUIN SWEATER Details,119.00 USD,Black
1575157640-6147,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,POCKET SWEATER,https://www.zara.com/us/en/pocket-sweater-p06873130.html,POCKET SWEATER Details,49.90 USD,Khaki
1575157307-5987,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,MOHAIR AND WOOL BLEND SWEATER,https://www.zara.com/us/en/mohair-and-wool-blend-sweater-p09598126.html,MOHAIR AND WOOL BLEND SWEATER Details,89.90 USD,Light gray
1575157936-6290,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,SOFT FEEL OVERSIZED SWEATER,https://www.zara.com/us/en/soft-feel-oversized-sweater-p06873106.html,SOFT FEEL OVERSIZED SWEATER Details,69.90 USD,Ecru
1575158023-6332,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,DRESS WITH METALLIC THREAD,https://www.zara.com/us/en/dress-with-metallic-thread-p03390100.html,DRESS WITH METALLIC THREAD Details,49.90 USD,Anthracite grey
