���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575145107-3633,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,PLEATED DOTTED MESH TOP,https://www.zara.com/us/en/pleated-dotted-mesh-top-p00881133.html,PLEATED DOTTED MESH TOP Details,39.90 USD,Black
1575145179-3668,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,PATCH POCKET SHIRT,https://www.zara.com/us/en/patch-pocket-shirt-p08037505.html,PATCH POCKET SHIRT Details,89.90 USD,taupe brown
1575145111-3635,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,LONG SHIRT WITH POCKETS,https://www.zara.com/us/en/long-shirt-with-pockets-p04786258.html,LONG SHIRT WITH POCKETS Details,69.90 USD,Black
1575144774-3477,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,RUFFLED TOP,https://www.zara.com/us/en/ruffled-top-p06929211.html,RUFFLED TOP Details,39.90 USD,Oyster White
1575145074-3617,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,BOW COLLAR TOP,https://www.zara.com/us/en/bow-collar-top-p07484172.html,BOW COLLAR TOP Details,39.90 USD,Ecru
1575144742-3463,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,PLEATED T-SHIRT,https://www.zara.com/us/en/pleated-t-shirt-p05039468.html,PLEATED T-SHIRT Details,25.90 USD,Taupe gray
1575145360-3755,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,SHIRT DRESS,https://www.zara.com/us/en/shirt-dress-p07718035.html,SHIRT DRESS Details,69.90 USD,Gray green
1575145525-3835,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,PRINTED PAJAMA TOP,https://www.zara.com/us/en/printed-pajama-top-p03067128.html,PRINTED PAJAMA TOP Details,39.90 USD,only one
1575145204-3680,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,FLORAL PRINT BLOUSE,https://www.zara.com/us/en/floral-print-blouse-p07925180.html,FLORAL PRINT BLOUSE Details,39.90 USD,Multicolored
1575143901-3074,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,SATIN CROPPED TOP,https://www.zara.com/us/en/satin-cropped-top-p03067110.html,SATIN CROPPED TOP Details,25.90 USD,Tangerine
